date,Type,AWND,PSUN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WSF5
2018-01-24,H,11.2485939258,nan,0.8832168451,0.0025129837,0.6456692913,34.97,43.2104,27.6512,nan,0,0,29.1440842622
2018-01-25,H,12.8144493302,nan,0,0,0.7050823193,22.46,34.655,17.6075,nan,0.1798909752,0,33.7457817773
2018-01-26,H,7.2860210655,nan,0,0,0.8708286464,22.46,30.7884615385,16.0146153846,nan,0.2073490814,0,23.6476122303
2018-01-27,H,10.9929440638,nan,0,0,0.4482132041,30.56,41.0830769231,17.5169230769,nan,0,0,33.8736067083
2018-01-28,H,5.7201656611,nan,0.0327346722,0,0.5583392985,46.49,51.92,26.8325,nan,0,0,21.570457102
2018-01-29,H,9.8744759178,nan,0.0015574976,0,0.4774669124,34.07,45.4376923077,27.32,nan,0.128300139,0,27.8658349524
2018-01-30,H,12.5268432355,nan,0.112607912,1.8136837625,2.0560684225,26.6,34.9808,20.5016,nan,0.1397637795,0.1513560805,30.496898115
2018-01-31,H,9.6188260558,nan,0.0753723556,0.6692913386,2.3875140607,22.55,30.7688,14.1938461538,nan,0.2937992126,0.0579813887,27.7380100215
2018-02-01,H,8.3405767461,nan,0.0150918635,0.1455499881,1.7322834646,31.91,37.1192,20.012,nan,0.255511811,0.0262467192,23.0084875754
2018-02-02,H,14.2844360364,nan,0.2474221972,0.353189547,1.1065064235,29.03,41.495,22.205,nan,0.3312007874,0.1225841088,38.0918294304
2018-02-03,H,8.596226608,nan,0.0044800434,0.0321017565,0.9195100612,13.73,29.0624,5.4896,nan,0.0141732283,0.0133420822,23.4239186011
2018-02-04,H,7.9890581859,nan,0.029706514,0.0029825817,0.7636154856,29.75,35.9333333333,13.1666666667,nan,0,0.001312336,23.2960936701
2018-02-05,H,10.9609878311,nan,0.574337482,0,0.2708661417,37.22,43.3123076923,27.14,nan,0,0.0210629921,37.1331424481
2018-02-06,H,5.5284282646,0,0,0,0.4219445395,25.25,38.2496,18.68,0,0.0194389764,0,20.5478576542
2018-02-07,H,4.2821351876,0.6872727273,0.0685216314,0.2661887413,0.4801437864,24.89,33.965,16.7075,421.2981818182,0.0100885827,0.002999625,22.1456692913
2018-02-08,H,9.2992637284,0.293,0.6627001681,2.3797698365,2.3917322835,26.06,35.6981818182,18.3772727273,180.195,0.8114610674,0.6446332366,29.911033848
2018-02-09,H,5.9119030576,0.6,0,0,2.2584981755,20.21,29.9825,13.325,370.8,0.2053805774,0,18.1830964311
2018-02-10,H,5.0490847735,0.8,0.0204543398,0.0269757947,2.0606657122,34.97,39.7261538462,18.6938461538,496.8,0.5556102362,0.0011811024,17.4161468453
2018-02-11,H,3.866704162,0.925,0.4587772117,0,1.0808023997,42.17,48.0875,33.0425,576.275,0.0551181102,0,15.1792105532
2018-02-12,H,8.0529706514,0.7014285714,0.6281228735,0,0.9189552525,37,44.585,32.45,439.0942857143,0.2670217693,0,25.7567235914
2018-02-13,H,7.0303712036,0.0414285714,0,0,0.6751968504,26.5,38.1826086957,21.7947826087,26.0171428571,0.0492125984,0,20.5478576542
2018-02-14,H,7.0942836691,0.535,0.0001312336,0,0.7204724409,32.9,39.095,24.05,337.585,0.1521372328,0,21.9858881276
2018-02-15,H,5.2088659372,0.6763636364,0.0080052493,0,0.5472440945,38.12,49.3817391304,29.292173913,428.8145454545,0,0,18.0552715002
2018-02-16,H,7.733408324,0.9316666667,0.0555502209,0,0.4546306712,43.88,50.2475,33.44,592.54,0,0,35.024031087
2018-02-17,H,7.8292770222,0.2181818182,0.0138287402,0.0393700787,0.4424446944,30.92,45.5484615385,23.5469230769,139.4181818182,0,0,25.8845485223
2018-02-18,H,7.765364556703139,0.6075,0.5288877952755906,5.632078524431022,5.798262286179745,33.71,39.92,24.872,390.015,0.5616797900262467,0.5380232076253626,28.888434400245423
2018-02-19,H,7.829277022190407,0.17,0.006484483557202408,0.0,3.0515670835263244,33.26,45.1472,18.651200000000003,109.48,0.40944881889763785,0.0,26.427804478985575
2018-02-20,H,6.966458738112281,0.8244444444,0.06451324266284897,0.0,0.3191489361702128,50.900000000000006,57.545,29.75,533.4155555556,0.0,0.0,22.305450455056754
2018-02-21,H,9.778607219552102,0.486,0.0009289569140936034,0.0,0.22065555759018496,52.7,70.32499999999999,40.64,315.9,0.0,0.0,31.732539114428878
2018-02-22,H,6.423202781470497,0.6981818182,0.008469144845266435,0.06116422947131609,0.17716535433070868,42.71,64.94782608695652,35.3048,455.9127272727,0.0,0.0,23.871305859494832
2018-02-23,H,5.400603333674199,0.519,0.09126268854947349,0.7783161720169595,0.7217847769028871,31.55,41.60923076923077,25.16,339.945,0.0720964566929134,0.08919359218028781,18.694396155026077
2018-02-24,H,7.541670927497698,0.4618181818,0.15106445027704873,0.018311664530305805,0.15344235816676763,42.08,47.120000000000005,29.7824,303.8763636364,0.0,0.0,25.14955516924021
2018-02-25,H,8.021014418652213,0.7916666667,0.11753408872671404,0.05748031496062992,0.18244670635682733,35.96,48.489285714285714,31.845714285714287,523.2916666667,0.011023622047244094,0.02073490813648294,23.00848757541671
2018-02-26,H,6.966458738112281,0.5090909091,0.43872748665037564,0.19055118110236222,0.24248389405869722,40.28,43.674285714285716,34.372142857142855,338.0363636364,0.03571428571428572,0.1124015748031496,23.296093670109418
2018-02-27,H,6.551027712445034,0.011666666666666667,0.0,0.0,0.12526843235504653,40.730000000000004,51.193333333333335,27.173333333333332,7.7700000000000005,0.0,0.0,22.720881480723996
2018-02-28,H,8.021014418652213,0.48090909090909095,0.0002595829367482911,0.0,0.20540910647038688,44.33,55.6592,31.3925,321.72818181818184,0.0,0.0,23.136312506391246
2018-03-01,H,7.286021065548623,0.38299999999999995,0.001583361862375899,0.0,0.19428277986990758,46.67,60.5,34.8425,257.376,0.0,0.0,31.061458226812555
2018-03-02,H,23.583699764802123,0.0,0.5236678264054203,0.2522898923348867,0.20142830983336388,39.29,53.78,34.415,0.0,0.0007381889763779527,0.06012884753042234,54.70907045710195
2018-03-03,H,17.959402801922483,0.9244444444444444,1.58471682003605,0.02677165354330709,0.14464224580623075,40.46,43.74695652173913,34.88782608695652,626.7733333333333,0.0,0.0016576875259013677,41.479190101237336
2018-03-04,H,10.801206667348398,0.6481818181818181,0.0038895740442083295,0.0,0.10437648782274309,39.38,45.08521739130435,36.34347826086957,441.4118181818181,0.0,0.0,31.157326925043453
2018-03-05,H,12.36706207178648,0.9366666666666668,0.09002940897448061,0.7636716643296301,0.8687664041994752,36.95,43.8575,30.9275,639.7433333333333,0.08697208303507516,0.08255413385826771,34.86424992330504
2018-03-06,H,6.039727988546886,0.45899999999999996,0.001546681664791901,0.01845472440944882,0.06643700787401575,33.17,42.3608,28.5152,314.87399999999997,0.0,0.006216328222130129,18.05527150015339
2018-03-07,H,13.421617752326412,0.95,0.0638619300494415,0.23314468503937008,0.22616853744345788,34.07,37.472,30.8624,654.55,0.009596456692913386,0.008552810209068696,36.046630534819506
2018-03-08,H,10.66272965879265,0.935,1.3100029163021292,8.629205440229063,8.658835678327096,32.54,36.04181818181818,29.668181818181818,647.02,1.1079865016872892,1.0865077676101298,36.16380338821283
2018-03-09,H,7.381889763779526,0.6366666666666666,0.06273975368463558,0.4892216341809733,6.625984251968505,30.11,36.575,25.475,442.4833333333333,1.2750984251968507,0.09019327129563351,23.296093670109418
2018-03-10,H,12.239237140811943,0.3222222222222222,0.008019830854476525,0.09706760792831931,5.992492217542575,33.71,38.2352,28.22,224.9111111111111,8.061304836895388,0.01929133858267717,32.14797014009612
2018-03-11,H,8.500357909806727,0.3645454545454545,0.00014060742407199101,0.0,4.814136605017396,35.96,41.6,27.5075,255.54636363636362,1.061679790026247,0.0,24.4944523979957
2018-03-12,H,8.052970651395848,0.5154545454545455,0.00013895321908290878,0.0017628393465742155,3.8017802122560767,33.71,43.64,23.06,362.88000000000005,0.8430821147356581,0.0,26.619541875447386
2018-03-13,H,16.681153492177113,1.0,0.3761396601740572,2.8647522000926355,4.91894395553497,32.27,40.542500000000004,26.6825,706.0,0.8543307086614174,0.23858267716535436,39.30616627467021
2018-03-14,H,12.239237140811943,0.888,0.9855288359225368,15.938695163104613,18.980023330417033,32.54,34.535,27.1475,629.592,1.985683607730852,1.3565616797900262,31.061458226812555
2018-03-15,H,13.389661519582779,0.74,0.01992806454748712,0.1386766952638383,12.336205615807458,35.24,40.3625,29.195,526.88,1.936023622047244,0.015063334474495036,34.28903773391962
2018-03-16,H,14.73182329481542,0.5727272727272728,0.0,0.0,8.948031496062992,32.72,40.3475,27.095,409.5,1.8637795275590552,0.0,39.11442887820841
2018-03-17,H,14.412260967379076,0.46444444444444444,0.0,0.0,8.101021946724744,28.4,38.5475,20.3375,333.4711111111111,1.8031496062992125,0.0,39.81746599856836
2018-03-18,H,10.769250434604766,0.06,0.0,0.0,7.502187226596675,20.12,37.00086956521739,12.755652173913042,43.26,1.4086614173228347,0.0,33.64991307904693
2018-03-19,H,11.664024951426525,0.0,0.0,0.0,7.149915084143894,24.259999999999998,34.18076923076923,13.979230769230771,0.0,1.7043307086614174,0.0,31.764495347172506
2018-03-20,H,5.592340730136005,0.16833333333333333,0.0,0.0,6.153459540961635,29.21,38.784615384615385,18.5576,122.37833333333333,1.348031496062992,0.0,19.349498926270577
